date,total_articles,bullish_index,dominant_sentiment
2021-08-30,23,0.6956521739130435,positive
2021-08-31,26,0.75,positive
2021-09-01,17,0.8823529411764706,positive
2021-09-02,16,0.5625,positive
2021-09-03,31,0.6129032258064516,positive
2021-09-06,23,0.6304347826086957,neutral
2021-09-07,31,0.5806451612903226,neutral
2021-09-08,32,0.625,positive
2021-09-09,27,0.7037037037037037,positive
2021-09-10,49,0.6836734693877551,neutral
2021-09-13,21,0.7619047619047619,positive
2021-09-14,24,0.75,positive
2021-09-15,28,0.6428571428571429,positive
2021-09-16,28,0.7857142857142857,positive
2021-09-17,45,0.7111111111111111,positive
2021-09-20,23,0.7391304347826086,positive
2021-09-21,21,0.7619047619047619,positive
2021-09-22,21,0.6666666666666666,positive
2021-09-23,26,0.6153846153846154,positive
2021-09-24,41,0.5487804878048781,neutral
2021-09-27,22,0.6363636363636364,positive
2021-09-28,25,0.76,positive
2021-09-29,20,0.6,positive
2021-09-30,19,0.7368421052631579,positive
2021-10-01,44,0.6818181818181818,positive
2021-10-04,26,0.6153846153846154,neutral
2021-10-05,27,0.6851851851851852,neutral
2021-10-06,30,0.7166666666666667,positive
2021-10-07,26,0.6730769230769231,neutral
2021-10-08,43,0.6395348837209303,positive
2021-10-11,26,0.6923076923076923,positive
2021-10-12,29,0.5862068965517241,neutral
2021-10-13,25,0.66,positive
2021-10-14,22,0.4772727272727273,neutral
2021-10-15,52,0.6057692307692307,positive
2021-10-18,30,0.6666666666666666,neutral
2021-10-19,35,0.6571428571428571,neutral
2021-10-20,38,0.4605263157894737,neutral
2021-10-21,47,0.44680851063829785,neutral
2021-10-22,64,0.546875,neutral
2021-10-25,29,0.5,neutral
2021-10-26,34,0.5735294117647058,neutral
2021-10-27,29,0.603448275862069,neutral
2021-10-28,33,0.45454545454545453,neutral
2021-10-29,70,0.5714285714285714,neutral
2021-11-01,35,0.5857142857142857,neutral
2021-11-02,29,0.5344827586206896,positive
2021-11-03,35,0.6571428571428571,neutral
2021-11-04,35,0.7714285714285715,positive
2021-11-05,65,0.6,positive
2021-11-08,30,0.65,positive
2021-11-09,31,0.6290322580645161,neutral
2021-11-10,29,0.6551724137931034,positive
2021-11-11,29,0.7068965517241379,positive
